"group_number","probability","protein_name","n_indistinguishable_proteins","total_number_peptides","total_number_distinct_peptides","Spectral index","Normalized spectral index","number of quantified peptides","Normalized spectral abundance factor"
"1",1,"sp|O13547|CCW14_YEAST","1","17",17,"4583.7630717471","-17.1831637918","15","-9.1313195908"
"2",1,"sp|P00128|QCR7_YEAST","1","10",10,"1178.6719358359","-18.2364009669","9","-8.9621521084"
"3",1,"sp|P00175|CYB2_YEAST","1","6",6,"2201.2279411349","-19.5535842772","6","-11.7654442425"
"4",1,"sp|P00358|G3P2_YEAST","1","184",184,"11291.2668456536","-16.3627824789","32","-8.5184318544"
"5",1,"sp|P00359|G3P3_YEAST","1","600",600,"142042.2703920014","-12.7097414196","392","-4.9037220103"
"6",1,"sp|P00360|G3P1_YEAST","1","29",29,"5063.3999373570","-17.5198114936","25","-8.8745756647"
"7",1,"sp|P00427|COX6_YEAST","1","6",6,"494.2047854557","-19.7111509836","3","-10.7678832880"
"8",1,"sp|P00445|SODC_YEAST","1","46",46,"13516.7562788884","-14.9949879710","40","-7.0882508689"
"9",1,"sp|P00447|SODM_YEAST","1","12",12,"3219.2424818514","-17.6623433998","12","-9.4226160670"
"10",1,"sp|P00498|HIS1_YEAST","1","5",5,"1446.5244991583","-19.1666068667","5","-11.0357834490"
"11",1,"sp|P00560|PGK_YEAST","1","383",383,"109115.5012599861","-13.4156059624","360","-5.3519790449"
"12",1,"sp|P00729|CBPY_YEAST","1","6",6,"1006.3019710959","-20.5310976451","6","-11.6137123579"
"13",1,"sp|P00812|ARGI_YEAST","1","13",13,"1580.4519250259","-19.2039197194","8","-10.5227707902"
"14",1,"sp|P00815|HIS2_YEAST","1","19",19,"2820.1846134928","-19.6311405899","18","-10.6155191146"
"15",1,"sp|P00817|IPYR_YEAST","1","43",43,"10549.5563977612","-16.2506749996","39","-8.0228971309"
"16",1,"sp|P00830|ATPB_YEAST","1","52",52,"10598.8692058336","-17.0762195379","45","-8.6487188077"
"17",1,"sp|P00899|TRPE_YEAST","1","15",15,"1946.9346849406","-19.5095159548","11","-10.6698027415"
"18",1,"sp|P00924|ENO1_YEAST","1","457",457,"22225.8087432805","-15.7822039621","67","-7.8487927021"
"19",1,"sp|P00925|ENO2_YEAST","1","736",736,"74848.2647334712","-14.0304710087","276","-5.8063574358"
"20",1,"sp|P00931|TRP_YEAST","1","25",25,"6559.1870068359","-18.2369279006","23","-10.0853968718"
"21",1,"sp|P00942|TPIS_YEAST","1","259",259,"70364.4349468505","-13.3023003029","239","-5.1967219255"
"22",1,"sp|P00950|PMG1_YEAST","1","63",63,"15269.0964486585","-15.5007029474","57","-7.2588696405"
"23",1,"sp|P00958|SYMC_YEAST","1","9",9,"1370.8275363237","-20.5825005239","9","-11.5261365192"
"24",1,"sp|P02293|H2B1_YEAST","2","22",22,"2486.0819532538","-17.2044276498","19","-7.9288879112"
"25",1,"sp|P02309|H4_YEAST","1","10",10,"816.9079395434","-18.4631336209","6","-9.2449304496"
"26",1,"sp|P02400|RLA4_YEAST","1","25",25,"5234.2579190134","-15.8782532020","23","-7.4011901806"
"27",1,"sp|P02406|RL28_YEAST","1","31",31,"4790.5084199131","-16.4438682458","26","-7.6621212254"
"28",1,"sp|P02407|RS17A_YEAST","2","30",30,"6107.9376882573","-15.9616560007","26","-7.5304155462"
"29",1,"sp|P02557|TBB_YEAST","1","11",11,"1918.5582929070","-19.3809062587","11","-10.5200111595"
"30",1,"sp|P02829|HSP82_YEAST","1","160",160,"4489.6196063583","-18.7879271065","15","-10.7061436447"
"31",1,"sp|P02992|EFTU_YEAST","1","24",24,"5081.4847121198","-17.9111178868","17","-9.8274190513"
"32",1,"sp|P02994|EF1A_YEAST","1","431",431,"115577.1970639744","-13.4713693142","426","-5.2478865910"
"33",1,"sp|P03962|PYRF_YEAST","1","10",10,"1168.9194733080","-19.3203988891","7","-10.3967334327"
"34",1,"sp|P03965|CARB_YEAST","1","25",25,"5046.5839656210","-19.2762758190","19","-11.0221693825"
"35",1,"sp|P04050|RPB1_YEAST","1","4",4,"455.5116653715","-23.3783745366","3","-14.3174858615"
